distance,reward
0.0,1.0
0.05,0.9523809523809523
0.1,0.9090909090909091
0.15000000000000002,0.8695652173913044
0.2,0.8333333333333334
0.25,0.8
0.30000000000000004,0.7692307692307692
0.35000000000000003,0.7407407407407407
0.4,0.7142857142857143
0.45,0.6896551724137931
0.5,0.6666666666666666
0.55,0.6451612903225806
0.6000000000000001,0.625
0.65,0.6060606060606061
0.7000000000000001,0.588235294117647
0.75,0.5714285714285714
0.8,0.5555555555555556
0.8500000000000001,0.5405405405405405
0.9,0.5263157894736842
0.9500000000000001,0.5128205128205128
1.0,0.5
