distance,1/(1+distance*10),2*(1/(1+distance*10))
0.0,1.0,2.0
0.05,0.6666666666666666,1.3333333333333333
0.1,0.5,1.0
0.15000000000000002,0.4,0.8
0.2,0.3333333333333333,0.6666666666666666
0.25,0.2857142857142857,0.5714285714285714
0.30000000000000004,0.25,0.5
0.35000000000000003,0.2222222222222222,0.4444444444444444
0.4,0.2,0.4
0.45,0.18181818181818182,0.36363636363636365
0.5,0.16666666666666666,0.3333333333333333
0.55,0.15384615384615385,0.3076923076923077
0.6000000000000001,0.14285714285714285,0.2857142857142857
0.65,0.13333333333333333,0.26666666666666666
0.7000000000000001,0.125,0.25
0.75,0.11764705882352941,0.23529411764705882
0.8,0.1111111111111111,0.2222222222222222
0.8500000000000001,0.10526315789473684,0.21052631578947367
0.9,0.1,0.2
0.9500000000000001,0.09523809523809523,0.19047619047619047
1.0,0.09090909090909091,0.18181818181818182
