distance,1/(1+distance),2*(1/(1+distance))
0.0,1.0,2.0
0.05,0.9523809523809523,1.9047619047619047
0.1,0.9090909090909091,1.8181818181818181
0.15000000000000002,0.8695652173913044,1.7391304347826089
0.2,0.8333333333333334,1.6666666666666667
0.25,0.8,1.6
0.30000000000000004,0.7692307692307692,1.5384615384615383
0.35000000000000003,0.7407407407407407,1.4814814814814814
0.4,0.7142857142857143,1.4285714285714286
0.45,0.6896551724137931,1.3793103448275863
0.5,0.6666666666666666,1.3333333333333333
0.55,0.6451612903225806,1.2903225806451613
0.6000000000000001,0.625,1.25
0.65,0.6060606060606061,1.2121212121212122
0.7000000000000001,0.588235294117647,1.176470588235294
0.75,0.5714285714285714,1.1428571428571428
0.8,0.5555555555555556,1.1111111111111112
0.8500000000000001,0.5405405405405405,1.081081081081081
0.9,0.5263157894736842,1.0526315789473684
0.9500000000000001,0.5128205128205128,1.0256410256410255
1.0,0.5,1.0
